effective_date,symbol
2008-04-30,UNITECH.NS
2008-04-30,WIPRO.NS
2008-04-30,ZEEL.NS
2008-05-31,ABB.NS
2008-05-31,ACC.NS
2008-05-31,AMBUJACEM.NS
2008-05-31,BHARTIARTL.NS
2008-05-31,BHEL.NS
2008-05-31,BPCL.NS
2008-05-31,CAIRN.NS
2008-05-31,CIPLA.NS
2008-05-31,DLF.NS
2008-05-31,DRREDDY.NS
2008-05-31,GAIL.NS
2008-05-31,GRASIM.NS
2008-05-31,HCLTECH.NS
2008-05-31,HDFC.NS
2008-05-31,HDFCBANK.NS
2008-05-31,HEROMOTOCO.NS
2008-05-31,HINDALCO.NS
2008-05-31,HINDUNILVR.NS
2008-05-31,ICICIBANK.NS
2008-05-31,IDEA.NS
2008-05-31,INFY.NS
2008-05-31,ITC.NS
2008-05-31,LT.NS
2008-05-31,M&M.NS
2008-05-31,MARUTI.NS
2008-05-31,NATIONALUM.NS
2008-05-31,NTPC.NS
2008-05-31,ONGC.NS
2008-05-31,PNB.NS
2008-05-31,POWERGRID.NS
2008-05-31,RANBAXY.NS
2008-05-31,RCOM.NS
2008-05-31,RELIANCE.NS
2008-05-31,RELINFRA.NS
2008-05-31,RPL.NS
2008-05-31,SAIL.NS
2008-05-31,SATYAMCOMP.NS
2008-05-31,SBIN.NS
2008-05-31,SIEMENS.NS
2008-05-31,STER.NS
2008-05-31,SUNPHARMA.NS
2008-05-31,SUZLON.NS
2008-05-31,TATACOMM.NS
2008-05-31,TATAMOTORS.NS
2008-05-31,TATAPOWER.NS
2008-05-31,TATASTEEL.NS
2008-05-31,TCS.NS
2008-05-31,UNITECH.NS
2008-05-31,WIPRO.NS
2008-05-31,ZEEL.NS
2008-06-30,ABB.NS
2008-06-30,ACC.NS
2008-06-30,AMBUJACEM.NS
2008-06-30,BHARTIARTL.NS
2008-06-30,BHEL.NS
2008-06-30,BPCL.NS
2008-06-30,CAIRN.NS
2008-06-30,CIPLA.NS
2008-06-30,DLF.NS
2008-06-30,DRREDDY.NS
2008-06-30,GAIL.NS
2008-06-30,GRASIM.NS
2008-06-30,HCLTECH.NS
2008-06-30,HDFC.NS
2008-06-30,HDFCBANK.NS
2008-06-30,HEROMOTOCO.NS
2008-06-30,HINDALCO.NS
2008-06-30,HINDUNILVR.NS
2008-06-30,ICICIBANK.NS
2008-06-30,IDEA.NS
2008-06-30,INFY.NS
2008-06-30,ITC.NS
2008-06-30,LT.NS
2008-06-30,M&M.NS
2008-06-30,MARUTI.NS
2008-06-30,NATIONALUM.NS
2008-06-30,NTPC.NS
2008-06-30,ONGC.NS
2008-06-30,PNB.NS
2008-06-30,POWERGRID.NS
2008-06-30,RANBAXY.NS
2008-06-30,RCOM.NS
2008-06-30,RELIANCE.NS
2008-06-30,RELINFRA.NS
2008-06-30,RPL.NS
2008-06-30,SAIL.NS
2008-06-30,SATYAMCOMP.NS
2008-06-30,SBIN.NS
2008-06-30,SIEMENS.NS
2008-06-30,STER.NS
2008-06-30,SUNPHARMA.NS
2008-06-30,SUZLON.NS
2008-06-30,TATACOMM.NS
2008-06-30,TATAMOTORS.NS
2008-06-30,TATAPOWER.NS
2008-06-30,TATASTEEL.NS
2008-06-30,TCS.NS
2008-06-30,UNITECH.NS
2008-06-30,WIPRO.NS
2008-06-30,ZEEL.NS
2008-07-31,ABB.NS
2008-07-31,ACC.NS
2008-07-31,AMBUJACEM.NS
2008-07-31,BHARTIARTL.NS
2008-07-31,BHEL.NS
2008-07-31,BPCL.NS
2008-07-31,CAIRN.NS
2008-07-31,CIPLA.NS
2008-07-31,DLF.NS
2008-07-31,DRREDDY.NS
2008-07-31,GAIL.NS
2008-07-31,GRASIM.NS
2008-07-31,HCLTECH.NS
2008-07-31,HDFC.NS
2008-07-31,HDFCBANK.NS
2008-07-31,HEROMOTOCO.NS
2008-07-31,HINDALCO.NS
2008-07-31,HINDUNILVR.NS
2008-07-31,ICICIBANK.NS
2008-07-31,IDEA.NS
2008-07-31,INFY.NS
2008-07-31,ITC.NS
2008-07-31,LT.NS
2008-07-31,M&M.NS
2008-07-31,MARUTI.NS
2008-07-31,NATIONALUM.NS
2008-07-31,NTPC.NS
2008-07-31,ONGC.NS
2008-07-31,PNB.NS
2008-07-31,POWERGRID.NS
2008-07-31,RANBAXY.NS
2008-07-31,RCOM.NS
2008-07-31,RELIANCE.NS
2008-07-31,RELINFRA.NS
2008-07-31,RPL.NS
2008-07-31,SAIL.NS
2008-07-31,SATYAMCOMP.NS
2008-07-31,SBIN.NS
2008-07-31,SIEMENS.NS
2008-07-31,STER.NS
2008-07-31,SUNPHARMA.NS
2008-07-31,SUZLON.NS
2008-07-31,TATACOMM.NS
2008-07-31,TATAMOTORS.NS
2008-07-31,TATAPOWER.NS
2008-07-31,TATASTEEL.NS
2008-07-31,TCS.NS
2008-07-31,UNITECH.NS
2008-07-31,WIPRO.NS
2008-07-31,ZEEL.NS
2008-08-31,ABB.NS
2008-08-31,ACC.NS
2008-08-31,AMBUJACEM.NS
2008-08-31,BHARTIARTL.NS
2008-08-31,BHEL.NS
2008-08-31,BPCL.NS
2008-08-31,CAIRN.NS
2008-08-31,CIPLA.NS
2008-08-31,DLF.NS
2008-08-31,DRREDDY.NS
2008-08-31,GAIL.NS
2008-08-31,GRASIM.NS
2008-08-31,HCLTECH.NS
2008-08-31,HDFC.NS
2008-08-31,HDFCBANK.NS
2008-08-31,HEROMOTOCO.NS
2008-08-31,HINDALCO.NS
2008-08-31,HINDUNILVR.NS
2008-08-31,ICICIBANK.NS
2008-08-31,IDEA.NS
2008-08-31,INFY.NS
2008-08-31,ITC.NS
2008-08-31,LT.NS
2008-08-31,M&M.NS
2008-08-31,MARUTI.NS
2008-08-31,NATIONALUM.NS
2008-08-31,NTPC.NS
2008-08-31,ONGC.NS
2008-08-31,PNB.NS
2008-08-31,POWERGRID.NS
2008-08-31,RANBAXY.NS
2008-08-31,RCOM.NS
2008-08-31,RELIANCE.NS
2008-08-31,RELINFRA.NS
2008-08-31,RPL.NS
2008-08-31,SAIL.NS
2008-08-31,SATYAMCOMP.NS
2008-08-31,SBIN.NS
2008-08-31,SIEMENS.NS
2008-08-31,STER.NS
2008-08-31,SUNPHARMA.NS
2008-08-31,SUZLON.NS
2008-08-31,TATACOMM.NS
2008-08-31,TATAMOTORS.NS
2008-08-31,TATAPOWER.NS
2008-08-31,TATASTEEL.NS
2008-08-31,TCS.NS
2008-08-31,UNITECH.NS
2008-08-31,WIPRO.NS
2008-08-31,ZEEL.NS
2008-10-01,ABB.NS
2008-10-01,ACC.NS
2008-10-01,AMBUJACEM.NS
2008-10-01,BHARTIARTL.NS
2008-10-01,BHEL.NS
2008-10-01,BPCL.NS
2008-10-01,CAIRN.NS
2008-10-01,CIPLA.NS
2008-10-01,DLF.NS
2008-10-01,GAIL.NS
2008-10-01,GRASIM.NS
2008-10-01,HCLTECH.NS
2008-10-01,HDFC.NS
2008-10-01,HDFCBANK.NS
2008-10-01,HEROMOTOCO.NS
2008-10-01,HINDALCO.NS
2008-10-01,HINDUNILVR.NS
2008-10-01,ICICIBANK.NS
2008-10-01,IDEA.NS
2008-10-01,INFY.NS
